Day,Date,Vehicle,Runs,1 origin,1 arrival,2 origin,2 arrival,3 origin,3 arrival,4 origin,4 arrival,5 origin,5 arrival,6 origin,6 arrival,1 d time,1 a time,2 d time,2 a time,3 d time,3 a time,4 d time,4 a time,5 d time,5 a time,6 d time,6 a time,Fuel,Receipts,Women,Men,Child,0,500,1000,1500,2000,2500,3000,4000
11,23-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:43,8:45,9:01,10:45,12:12,14:11,15:45,17:30,,,,,70000,2,15,9,0,0,11,7,2,4,0,0,0
11,23-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:19,8:48,10:00,11:30,13:57,15:28,16:30,18:17,,,,,70000,2,29,15,1,0,20,13,2,7,1,3,0
11,23-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:29,8:10,9:00,11:04,12:00,14:00,14:49,17:18,,,,,70000,1,9,5,3,3,8,6,0,0,0,0,0
11,23-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:15,9:00,9:30,11:25,12:54,14:50,16:10,17:55,,,,,70000,1,4,7,10,0,13,7,0,1,0,0,0
11,23-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:40,9:30,11:00,12:30,14:40,16:30,17:10,18:45,,,,,70000,1,4,6,2,0,7,3,0,0,0,2,0
12,24-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:38,10:06,11:00,13:45,14:50,17:20,17:42,,,,,,70000,1,6,1,1,0,4,0,0,3,0,0,1
12,24-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:26,8:57,9:30,11:05,12:30,15:57,16:10,18:36,,,,,70000,2,26,7,2,0,12,12,0,9,2,0,0
12,24-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,5:59,7:34,8:11,11:35,13:15,16:54,17:30,18:49,,,,,70000,1,17,1,1,1,2,11,0,5,0,0,0
12,24-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:24,8:19,9:11,11:17,12:00,15:20,15:50,18:11,,,,,70000,2,11,10,2,0,13,8,0,1,0,1,0
12,24-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:16,8:29,10:30,12:52,13:55,15:38,,18:30,,,,,70000,1,17,10,2,0,12,12,0,4,0,1,0
12,24-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:00,9:32,11:30,14:20,15:10,16:31,17:00,,,,,,70000,1,13,13,1,0,20,6,1,0,0,0,0
13,25-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:20,9:22,10:41,13:31,14:10,15:40,16:35,18:25,,,,,70000,1,15,10,1,0,4,15,0,7,0,0,0
13,25-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:47,8:35,9:23,12:33,13:35,15:05,16:15,18:06,,,,,70000,2,11,5,3,0,11,7,0,1,0,0,0
13,25-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:40,9:30,11:20,13:34,14:40,16:18,17:00,18:53,,,,,70000,0,11,6,4,0,11,5,0,5,0,0,0
13,25-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:21,8:14,9:00,11:36,12:42,14:37,15:40,17:36,,,,,70000,1,11,6,0,0,7,4,0,6,0,0,0
14,27-Feb,UAZ956Q,2,BK,KM,KM,BK,,,,,,,,,15:14,17:14,17:40,19:31,,,,,,,,,35000,1,10,3,0,0,7,0,6,0,0,0,0
14,27-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:30,9:10,10:00,12:58,14:10,16:07,17:13,19:19,,,,,70000,2,12,9,1,0,9,0,8,0,4,1,0
14,27-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,5:45,8:07,9:00,12:17,12:40,14:40,16:00,19:23,,,,,70000,2,8,12,4,0,5,12,0,5,0,2,0
15,28-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:53,9:54,10:01,13:00,14:00,15:30,15:54,18:30,,,,,70000,1,17,7,0,0,12,6,0,6,0,0,0
14,27-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:50,10:20,11:50,14:09,15:12,17:10,17:17,20:30,,,,,70000,1,12,6,1,0,1,10,0,4,0,2,2
